('1636738357609150100', 464, 253, 111, 203, 0.9974078214301457)
('1636738357171666200', 463, 248, 111, 210, 0.9961161096048822)
('1636738357827896600', 464, 250, 112, 206, 0.9958194620546809)
('1636738358046636200', 463, 249, 113, 207, 0.9933993747950636)
('1636738356734179400', 469, 248, 108, 194, 0.9900502472788779)
('1636738356952921800', 465, 249, 109, 207, 0.9884512912614103)
('1636738356296694800', 473, 243, 109, 200, 0.9782245347453561)
('1636738356515438000', 473, 245, 110, 198, 0.9747644268611443)
('1636738362296493600', 515, 253, 105, 205, 0.9689424310904825)
('1636738360327810400', 481, 250, 109, 202, 0.9635760899720898)
('1636738359140350400', 464, 252, 114, 204, 0.9633785329029227)
('1636738358921607800', 465, 250, 112, 205, 0.9625295107756537)
('1636738361859011200', 509, 258, 114, 201, 0.9580853393179957)
('1636738362077753600', 509, 252, 113, 208, 0.9571280202745585)
('1636738360546552300', 483, 251, 107, 202, 0.9562443863248434)
('1636738360765297900', 485, 258, 110, 194, 0.955097570266303)
('1636738361421525300', 526, 261, 109, 198, 0.9544530741427658)
('1636738359577837500', 471, 250, 106, 209, 0.9535845786541715)
('1636738371631004900', 513, 255, 110, 211, 0.9525928081251293)
('1636738371412262600', 513, 252, 111, 218, 0.9520392830071288)
('1636738346937635300', 430, 199, 117, 251, 0.9520179544209233)
('1636738359359093900', 463, 251, 116, 205, 0.9519162913032624)
('1636738360984037400', 499, 257, 109, 197, 0.9517927874910892)
('1636738358702863800', 465, 251, 112, 206, 0.9504808139321547)
('1636738354156143500', 431, 198, 106, 251, 0.9503888401847898)
('1636738374755900800', 496, 271, 106, 202, 0.9496668501802052)
('1636738361202783500', 518, 256, 108, 200, 0.9496084341219024)
('1636738361640265600', 521, 260, 111, 200, 0.9493728403910757)
('1636738356077955800', 456, 230, 113, 212, 0.948609119692428)
('1636738358484123000', 465, 246, 112, 213, 0.9474288555108289)
('1636738347156376900', 428, 198, 124, 251, 0.9473460411369586)
('1636738347593863100', 427, 200, 116, 251, 0.9465709317806624)
('1636738353499915800', 433, 199, 105, 248, 0.9461249555437107)
('1636738371193520700', 514, 249, 110, 221, 0.9461188307867852)
('1636738362952724700', 517, 257, 108, 202, 0.9456880919859002)
('1636738353718655200', 434, 197, 103, 250, 0.9450387229731245)
('1636738362515238700', 518, 256, 108, 203, 0.9443425041048652)
('1636738348031348300', 427, 195, 110, 257, 0.9436231874628309)
('1636738348687576800', 431, 191, 104, 259, 0.9435019045931762)
('1636738349562547100', 434, 191, 102, 258, 0.9434069072230824)
('1636738363390208800', 517, 258, 107, 200, 0.9432419346588474)
('1636738363827692200', 517, 260, 108, 199, 0.9429609575069576)
