('1636738357609150100', 323, 268, 120, 199, 0.9962036071270244)
('1636738357171666200', 316, 273, 122, 189, 0.9903536803266244)
('1636738357827896600', 321, 269, 122, 190, 0.9865984884234292)
('1636738356952921800', 313, 275, 120, 179, 0.9848155312416469)
('1636738351531232500', 301, 270, 125, 194, 0.9834596475968088)
('1636738358046636200', 314, 270, 131, 186, 0.9792027136539251)
('1636738351749971000', 304, 268, 121, 201, 0.9780642114133669)
('1636738359140350400', 346, 287, 112, 183, 0.9711304306617843)
('1636738356734179400', 313, 271, 121, 184, 0.9633623302092357)
('1636738359359093900', 349, 289, 133, 182, 0.9609075486777386)
('1636738352843684900', 309, 268, 116, 203, 0.9587974203012563)
('1636738358921607800', 334, 279, 120, 188, 0.9574730266409203)
('1636738378693267200', 334, 282, 132, 181, 0.9573385298051079)
('1636738356515438000', 309, 271, 124, 187, 0.9552927931514872)
('1636738353062429600', 310, 267, 116, 208, 0.9548230595137417)
('1636738358265381600', 311, 271, 129, 186, 0.954196421109445)
('1636738353281172600', 309, 264, 120, 208, 0.9540840597294862)
('1636738356296694800', 308, 267, 126, 198, 0.9539077724400716)
('1636738356077955800', 307, 270, 122, 189, 0.9534007254193806)
('1636738352624944200', 307, 268, 118, 201, 0.9494568755364906)
('1636738378912011700', 327, 285, 140, 183, 0.943842913344694)
('1636738350437515500', 299, 266, 125, 199, 0.942870165510276)
('1636738352406199200', 305, 268, 119, 202, 0.9427279188199935)
('1636738371412262600', 355, 304, 141, 171, 0.9407381089110657)
('1636738351968715500', 308, 266, 117, 203, 0.9386780468817844)
('1636738353499915800', 310, 256, 117, 213, 0.9386113618363295)
('1636738354984240500', 312, 263, 116, 202, 0.9379618848626874)
('1636738371193520700', 350, 306, 152, 169, 0.9353582773577753)
('1636738359796580400', 356, 299, 132, 176, 0.9344964884250353)
('1636738378474526700', 345, 284, 119, 178, 0.9343170573931979)
('1636738371631004900', 351, 304, 151, 171, 0.9341017653891072)
('1636738355859211000', 307, 270, 123, 196, 0.9339600725846)
('1636738384583698400', 326, 247, 117, 203, 0.9325013690466)
('1636738371849745900', 350, 303, 151, 172, 0.9321540032438056)
('1636738372287235100', 351, 304, 151, 171, 0.9317258115315527)
('1636738367256149300', 362, 307, 129, 169, 0.9298372125723339)
('1636738372068491000', 351, 302, 151, 173, 0.9297257358632649)
('1636738370974777800', 352, 305, 148, 171, 0.9292487312892895)
('1636738352187458800', 306, 267, 120, 202, 0.9275499808586413)
('1636738350000029500', 286, 268, 131, 189, 0.9272992449406051)
('1636738353718655200', 312, 254, 116, 212, 0.9261960118844986)
('1636738343219007700', 291, 242, 168, 210, 0.9245425967079427)
('1636738384364952700', 317, 251, 123, 200, 0.9242040704877084)
('1636738368787352300', 354, 302, 141, 173, 0.9228627038811997)
('1636738355640469500', 307, 270, 122, 190, 0.922798915492091)
('1636738367474892400', 362, 308, 130, 167, 0.9221045478752273)
('1636738350218772500', 294, 269, 127, 192, 0.921442202178365)
('1636738367037409900', 355, 301, 139, 175, 0.9197904746507993)
('1636738346718891000', 284, 268, 169, 188, 0.9195517545286735)
('1636738367693636600', 363, 308, 128, 168, 0.9194785957711723)
('1636738350875003500', 288, 267, 139, 195, 0.9193946040441)
('1636738368131122900', 363, 308, 128, 169, 0.9190501966797032)
('1636738368568607400', 354, 302, 140, 173, 0.9189293780690211)
('1636738351093745300', 298, 268, 130, 188, 0.9184895387899413)
('1636738372505974100', 352, 304, 149, 171, 0.9183257022709354)
('1636738396255179600', 418, 218, 91, 233, 0.9177569961604595)
('1636738367912378700', 361, 308, 131, 169, 0.9163671118947765)
('1636738345843921400', 285, 261, 170, 198, 0.9159608591947636)
