('1636738315394259700', 331, 133, 86, 226, 0.9859530747039907)
('1636738315613004600', 329, 129, 101, 239, 0.9558397507400186)
('1636738318237913400', 343, 132, 101, 250, 0.9389682365187263)
('1636738328128210300', 343, 133, 94, 258, 0.9375831840503628)
('1636738318019174400', 342, 133, 102, 249, 0.9359584305428684)
('1636738318456658600', 343, 132, 101, 242, 0.9335217451459722)
('1636738315175516100', 333, 131, 87, 214, 0.9328230275570211)
('1636738319112884500', 343, 132, 100, 262, 0.9322001565887089)
('1636738319331627800', 343, 133, 102, 276, 0.9270503359622771)
('1636738318675398500', 343, 132, 101, 244, 0.9260012908652859)
('1636738319550372100', 343, 131, 103, 294, 0.9250941568845679)
('1636738315831747000', 334, 135, 105, 243, 0.9205649720281833)
('1636738317800429300', 342, 132, 103, 257, 0.9193868431702562)
('1636738326159525200', 344, 134, 93, 246, 0.9166895967783542)
('1636738318894143900', 343, 133, 104, 274, 0.9153455997102691)
('1636738324362712200', 344, 134, 96, 244, 0.9052097424980655)
('1636738326378269500', 344, 133, 93, 247, 0.9051332210542905)
('1636738319769112500', 344, 133, 102, 256, 0.9050814349115937)
('1636738319987857200', 344, 132, 102, 253, 0.9041561744525)
('1636738343219007700', 308, 139, 93, 146, 0.902128487561864)
('1636738324143967900', 342, 134, 102, 235, 0.9006252216372269)
('1636738316050488300', 333, 135, 109, 247, 0.9005300689542377)
('1636738314519289700', 328, 132, 84, 266, 0.89891399075051)
('1636738324581451700', 342, 135, 103, 232, 0.8970368009667635)
('1636738323925223200', 344, 133, 95, 241, 0.8945670070008647)
('1636738325940781600', 343, 134, 98, 250, 0.8940798033702638)
('1636738342125298300', 345, 138, 100, 261, 0.8929906832905568)
('1636738323706482700', 344, 132, 98, 250, 0.8924799609717738)
('1636738326597011200', 344, 133, 94, 249, 0.887878783751608)
('1636738323050254400', 344, 134, 97, 250, 0.8870512499242883)
('1636738323487740400', 343, 133, 99, 248, 0.8865325287300106)
('1636738326815753800', 343, 135, 95, 243, 0.8862764717693737)
('1636738324800196000', 343, 134, 96, 238, 0.8816348120517407)
('1636738328565694200', 343, 133, 95, 253, 0.8796167139730403)
